Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-05;Ibrahim FM et al.;Sept. 2026;04.09.2026;Int Nurs Rev;2026;Pflegekräfte gewinnen und halten: Übergangsprogramme wirken auf Verbleib im Beruf;"Narratives Policy Review (2016–2026) von 24 Datenquellen zu Interventionen beim Aufbau, der Rekrutierung und Bindung von Krankenhausfachkräften; strukturierte Analyse von Übergangs-, Rekrutierungs- und Retentionsinstrumenten.";"Übergangs- und Nurse-Residency-Programme zeigten konsistenteste Evidenz für Verbleib von Berufsanfängern, auch wenn Heterogenität die Sicherheit einschränkte. Arbeitsumfeld, Personalausstattung, Führung und Sicherheit meist observational. Fokus auf Arbeitsausstattung und Führungsreformen erforderlich; mehrere Pfade noch unvalidiert.";"Internationale Evidenz, fokussiert USA und Europa; deutschlands Transitionsprogramme noch ausbaubedürftig";42695752;https://pubmed.ncbi.nlm.nih.gov/42695752/
2026-09-05;Tian F et al.;03.09.2026;04.09.2026;J Vis Exp;2026;Plan-Do-Check-Act Hygiene-Paket: Compliance, Infektionsraten und Pflegequa­lität im Krankenhaus;Kontrollierte Vorher-Nachher-Studie zur Wirkung eines zyklischen Verbesserungs­bundles (PDCA) auf Händedesinfektions-Compliance und nosokomiale Infektionen in 16 Krankenhausstationen in China.;"Händedesinfektions-Compliance stieg in der Interventionsgruppe von 66,2 % auf 83,2 % (Kontrollgruppe: 63,1 % auf 66,8 %); bereinigte Odds Ratio 2,38 (95%-KI: 2,19–2,59). Nosokomiale Infektionsrate sank von 7,07 auf 4,37 pro 1000 Patiententage; bereinigte Inzidenzrate-Ratio 0,60 (95%-KI: 0,52–0,69). PDCA-Governance zeigte Wirkung auf Infektionen und Pflegekvalität.";Klinikdaten, Infektionsprävention deutschlandweit Vergütungssystem nicht relevant;42695612;https://pubmed.ncbi.nlm.nih.gov/42695612/
2026-09-05;Asaye MM et al.;04.09.2026;04.09.2026;Glob Health Action;2026;Hebammenbetreute Geburtshilfe in Äthiopien: Frauen berichten von Empowerment und Unterstützung;Qualitative Studie zu Erfahrungen von 16 Erstgebärenden mit kontinuierlicher hebammengeleiteter Geburtshilfe an vier Krankenhäusern in Äthiopien (Juli–Dezember 2024).;"Vier Themen identifiziert: emotionales Empowerment und Mindset-Transformation; mitfühlende und respektvolle Versorgung; physische und informationelle Unterstützung; Wunsch nach ausgeweiteter Unterstützung. Frauen bewerteten diesen Ansatz als überlegen gegenüber Standardversorgung und befürworteten breite Einführung.";Äthiopien, Geburtshilfe, Übertragbar bei ähnlichen Ressourcen- und Frauengesundheitskontexten;42695126;https://pubmed.ncbi.nlm.nih.gov/42695126/
2026-09-05;Kaplan A et al.;Sept. 2026;04.09.2026;Int Nurs Rev;2026;Schlafmangel in Nachschichten: Folgen für Kognition und Übergabepflege;Querschnittsstudie von 270 Pflegekräften in Notaufnahmen, Intensivstationen und Stationen zur Assoziation zwischen Tagesmüdigkeit während Nachtwachen und selbstberichteter kognitiver Kontrolle, kognitiver Flexibilität und Handover-Effektivität.;"Mittlere Müdigkeitswerte im Schichtdurchschnitt 6,41 ± 1,81; höchster Wert um 6 Uhr (7,58 ± 2,35). Höhere Müdigkeit korrelierte mit niedrigerer kognitiver Kontrolle und Flexibilität (β = -0,510; p < 0,001) und niedrigerer Handover-Effektivität (β = -0,670; p < 0,001). Müdigkeit als Gesundheitsrisiko für Patientensicherheit nachgewiesen.";Türkei, Arbeitsschutz in Schichtarbeit, vergleichbare Versorgungsstrukturen;42694001;https://pubmed.ncbi.nlm.nih.gov/42694001/
2026-09-05;Boeijen JA et al.;03.09.2026;03.09.2026;BMJ Open;2026;Hausbetreute COVID-19-Patienten mit Sauerstofftherapie: Machbarkeit und Kosten;"Partizipative Aktionsforschung zur Pilotierung einer ambulanten Versorgung für 13 COVID-19-Patienten mit Sauerstoffbedarf in den Niederlanden; Kosten- und Durchführbarkeitsanalyse versus stationäre Aufnahme.";Mediane Betreuungsdauer 7 Tage (SD 3,4), durchschnittliche Kosten €1124 pro Patient. Keine Interventionszwischenfälle. Gegenüber Krankenhausaufnahme Kostenersparnis geschätzt auf €1087–€2850 pro Patient. Machbarkeit trotz Kommunikations- und Logistikherausforderungen gegeben.;Niederlande, vergleichbares Versicherungssystem und Allgemeinmedizin-Netzwerk;42692524;https://pubmed.ncbi.nlm.nih.gov/42692524/
2026-09-05;Palimetaki F et al.;02.09.2026;02.09.2026;BMJ Open Qual;2026;Patientenstimmen bei Inspektionen von Langzeitpflegheimen in den Niederlanden;Explorative Studie zu 273 Inspektionsberichten niederländischer Pflegeheime (2020–2023): Untersucht wurden Häufigkeit und Art von Zitaten Bewohnererfahrungen als Informationsquelle bei Qualitätsbewertungen.;Signifikanter Anstieg positiver Zitate von Bewohnern bei 3 von 16 Bewertungskriterien (2020–2023), insbesondere für Person-centered care. Trotz Zunahme bleibt Raum zur stärkeren Einbeziehung von Bewohnererfahrungen in Qualitätsberichten von Langzeitpflegheimen.;Niederlande, vergleichbare Inspektionsstruktur und MDK-ähnliche Aufsicht;42686381;https://pubmed.ncbi.nlm.nih.gov/42686381/
2026-09-04;Romero-Sánchez JM et al.;2026;03.09.2026;J Nurs Manag;2026;Pflegekomplexität in der Klinik messen: Validierung des SIPI-Instruments auf Spanisch;Klinimetrische Validierung eines Kurzinstruments (SIPI) zur Erfassung der pflegerischen Versorgungskomplexität an 212 Patienten in vier Innere-Medizin-Stationen.;"Konvergenzvalidität gesichert: SIPI-Scores stiegen signifikant über vier Komplexitätsstufen. ROC-Analyse: Diskriminationsfähigkeit (AUC=0,94, 95%-KI 0,91–0,97) exzellent; optimaler Cut-off 53,50 mit Sensitivität 88,4%, Spezifität 86,0%, positiver Vorhersagewert 87,6%, negativer 86,9%. Known-Groups-Validität bestätigt.";Spanien/Italien: Validiertes Assessment für Personalbemessung, prinzipiell auch Deutschland einsetzbar.;42689965;https://pubmed.ncbi.nlm.nih.gov/42689965/
2026-09-04;Mohamed SAM et al.;Sept. 2026;03.09.2026;Nurs Crit Care;2026;Sichtbare Führung und Mitspracheverhalten von Pflegenden: Vertrauen als Mechanismus;Querschnittsstudie an 13 Pflegenden in ägyptischen Intensivstationen mit Strukturgleichungsmodellierung der Effekte von Management by Walking Around auf Voice Behaviour durch Vertrauen als Mediator.;MBWA positiv assoziiert mit Vertrauen (β=0,620, p<0,001) und Voice Behaviour (β=0,468, p<0,001). Vertrauen signifikant prädiktiv für Voice (β=0,471, p<0,001). Indirekter Effekt von MBWA auf Voice durch Vertrauen signifikant (β=0,292, 95%-KI [0,115–0,547]). Partielle Mediation: 38,4% des Gesamteffekts vermittelt durch Vertrauen.;Ägypten: Organisationskultur übertragbar auf Kommunikationsziele in deutschsprachigen Stationen.;42689762;https://pubmed.ncbi.nlm.nih.gov/42689762/
2026-09-04;Li S et al.;19.08.2026;03.09.2026;Front Public Health;2026;Humanistische Pflegekompetenz durch strukturierte Reflexion: Gibbs-Zyklus wirksam;Quasi-experimentelle Studie mit 60 Pflegenden in Infektionsabteilung einer chinesischen Klinik, 30 mit Gibbs-Reflexionszyklus trainiert, 30 Kontrollgruppe mit Standardtraining.;Interventionsgruppe zeigte nach Training signifikant höhere Werte auf der Caring Behavior Inventory als Vorher-Werte und Kontrollgruppe (P<0,05), ebenso auf der Reflective Ability Scale (P<0,05). Humanistische Pflegekompetenzen und Reflexionsfähigkeit beide erhöht.;China: Schulungsmodell für ethische Reflexion, Konzept auf deutsches Klinik- und Heimsetting übertragbar.;42688377;https://pubmed.ncbi.nlm.nih.gov/42688377/
2026-09-04;Boyle LD et al.;28.08.2026;02.09.2026;JMIR Nurs;2026;Objektive Messung von Aktivität und Schlaf bei Heimbewohnern mit Demenz mittels Sensoren;Einjährige Beobachtungsstudie mit tragbaren Smartwatches und radar-basiertem Monitoring zur Erfassung von Bewegungsaktivität und Schlafqualität bei 11 Heimbewohnern mit Demenz.;Signifikante Unterschiede bei nächtlicher Aktivität (P=0,01) und vier Schlaf-Biomarkern: Gesamtschlafzeit P=0,02, Schlafeffizienz P=0,02, Wachzeit nach Schlafbeginn P=0,01, Schlaf-Regulationsindex P=0,01. Geräteakzeptanz 88–96%. Zuverlässigkeit zwischen Personen moderat bis stark (0,58–0,79), innerhalb der Gruppe schwach.;Norwegen: Gesundheitsdaten aus spezialisierten Demenzwohngruppen, übertragbar auf deutsches Heim-Monitoring.;42684378;https://pubmed.ncbi.nlm.nih.gov/42684378/
